设备编号,检修日期,设备类型,所属变电站,检修前_月平均负荷率,检修后_月平均负荷率,月平均负荷率_变化率(%),检修前_月最大负荷率,检修后_月最大负荷率,月最大负荷率_变化率(%),检修前_油温（℃）,检修后_油温（℃）,油温（℃）_变化率(%),检修前_绕组温度（℃）,检修后_绕组温度（℃）,绕组温度（℃）_变化率(%),检修前_绝缘电阻（MΩ）,检修后_绝缘电阻（MΩ）,绝缘电阻（MΩ）_变化率(%),检修前_介质损耗角tanδ,检修后_介质损耗角tanδ,介质损耗角tanδ_变化率(%),检修前_局部放电量（pC）,检修后_局部放电量（pC）,局部放电量（pC）_变化率(%),检修前_SF6气体压力（MPa）,检修后_SF6气体压力（MPa）,SF6气体压力（MPa）_变化率(%)
EQ-0054,2023-03-08 00:00:00,隔离开关,松山湖220kV变电站,0.516,0.553,7.11,0.644,0.723,12.31,,,,,,,,,,,,,,,,,,
EQ-0342,2023-03-08 00:00:00,避雷器,长沙星沙110kV变电站,0.451,0.462,2.51,0.546,0.562,2.99,,,,,,,,,,,,,,,,,,
EQ-0343,2023-03-08 00:00:00,避雷器,长沙星沙110kV变电站,0.532,0.6,12.76,0.66,0.769,16.48,,,,,,,,,,,,,,,,,,
EQ-0119,2023-03-08 00:00:00,隔离开关,张江110kV变电站,0.46,0.498,8.07,0.573,0.61,6.4,,,,,,,,,,,,,,,,,,
EQ-0275,2023-03-08 00:00:00,避雷器,天津滨海220kV变电站,0.596,0.625,4.79,0.747,0.758,1.5,,,,,,,,,,,,,,,,,,
EQ-0314,2023-03-08 00:00:00,电力变压器,江夏35kV变电站,0.559,0.608,8.67,0.666,0.772,16.06,45.733,64.667,41.4,61.9,82.8,33.76,8954.333,8706.333,-2.77,0.004,0.005,18.68,16.533,14.933,-9.68,,,
EQ-0191,2023-03-08 00:00:00,隔离开关,杭州滨江110kV变电站,0.564,0.602,6.77,0.7,0.729,4.12,,,,,,,,,,,,,,,,,,
EQ-0282,2023-03-08 00:00:00,电力变压器,石家庄高新35kV变电站,0.626,0.654,4.35,0.811,0.813,0.21,45.967,63.667,38.51,63.567,80.267,26.27,8826.333,9206.333,4.31,0.005,0.004,-27.78,12.767,8.367,-34.46,,,
EQ-0278,2023-03-09 00:00:00,避雷器,天津滨海220kV变电站,0.452,0.485,7.44,0.586,0.631,7.7,,,,,,,,,,,,,,,,,,
EQ-0391,2023-03-26 00:00:00,避雷器,重庆两江220kV变电站,0.462,0.469,1.66,0.553,0.572,3.31,,,,,,,,,,,,,,,,,,
EQ-0214,2023-03-09 00:00:00,避雷器,昆山35kV变电站,0.54,0.578,6.98,0.68,0.702,3.13,,,,,,,,,,,,,,,,,,
EQ-0270,2023-03-09 00:00:00,电容器组,天津滨海220kV变电站,0.521,0.553,6.1,0.619,0.723,16.69,,,,,,,,,,0.006,0.004,-25.79,,,,,,
EQ-0264,2023-03-20 00:00:00,隔离开关,天津滨海220kV变电站,0.57,0.642,12.57,0.727,0.798,9.71,,,,,,,,,,,,,,,,,,
EQ-0354,2023-03-20 00:00:00,隔离开关,武侯110kV变电站,0.461,0.452,-1.85,0.583,0.584,0.06,,,,,,,,,,,,,,,,,,
EQ-0143,2023-03-09 00:00:00,避雷器,临港110kV变电站,0.568,0.612,7.83,0.685,0.747,8.94,,,,,,,,,,,,,,,,,,
EQ-0202,2023-03-09 00:00:00,电力变压器,昆山35kV变电站,0.526,0.576,9.36,0.641,0.693,8.08,49.267,66.067,34.1,66.567,84.533,26.99,7885.0,7833.667,-0.65,0.005,0.006,5.48,7.9,10.233,29.54,,,
EQ-0178,2023-03-09 00:00:00,避雷器,苏州工业园220kV变电站,0.414,0.441,6.74,0.527,0.56,6.23,,,,,,,,,,,,,,,,,,
EQ-0114,2023-03-17 00:00:00,断路器,张江110kV变电站,0.624,0.6,-3.94,0.787,0.76,-3.45,,,,,,,10133.667,9202.667,-9.19,,,,,,,0.499,0.483,-3.21
EQ-0019,2023-03-10 00:00:00,隔离开关,龙华220kV变电站,0.57,0.676,18.63,0.687,0.862,25.47,,,,,,,,,,,,,,,,,,
EQ-0111,2023-03-10 00:00:00,断路器,张江110kV变电站,0.54,0.57,5.44,0.653,0.715,9.49,,,,,,,10089.0,9711.667,-3.74,,,,,,,0.504,0.481,-4.63
EQ-0132,2023-03-10 00:00:00,断路器,临港110kV变电站,0.563,0.589,4.6,0.747,0.704,-5.78,,,,,,,9406.0,10252.333,9.0,,,,,,,0.495,0.457,-7.74
EQ-0373,2023-04-01 00:00:00,断路器,重庆两江220kV变电站,0.54,0.698,29.16,0.687,0.855,24.53,,,,,,,9725.333,7566.333,-22.2,,,,,,,0.527,0.478,-9.3
EQ-0365,2023-04-01 00:00:00,电力变压器,重庆两江220kV变电站,0.566,0.719,26.94,0.689,0.894,29.72,52.5,74.733,42.35,70.8,93.833,32.53,7292.333,7639.667,4.76,0.004,0.005,42.66,8.367,8.867,5.98,,,
EQ-0311,2023-03-18 00:00:00,避雷器,武昌110kV变电站,0.617,0.668,8.16,0.741,0.878,18.48,,,,,,,,,,,,,,,,,,
EQ-0316,2023-03-14 00:00:00,断路器,江夏35kV变电站,0.561,0.611,8.96,0.705,0.798,13.27,,,,,,,9345.667,7415.333,-20.65,,,,,,,0.483,0.476,-1.52
EQ-0419,2023-03-20 00:00:00,隔离开关,沈阳浑南110kV变电站,0.521,0.564,8.17,0.651,0.725,11.52,,,,,,,,,,,,,,,,,,
EQ-0363,2023-03-10 00:00:00,避雷器,武侯110kV变电站,0.431,0.493,14.35,0.539,0.643,19.24,,,,,,,,,,,,,,,,,,
EQ-0123,2023-03-10 00:00:00,避雷器,张江110kV变电站,0.433,0.464,6.97,0.528,0.575,8.93,,,,,,,,,,,,,,,,,,
EQ-0411,2023-03-10 00:00:00,断路器,沈阳浑南110kV变电站,0.582,0.653,12.17,0.71,0.827,16.46,,,,,,,7100.0,9012.0,26.93,,,,,,,0.479,0.483,0.83
EQ-0116,2023-03-23 00:00:00,隔离开关,张江110kV变电站,0.529,0.568,7.52,0.675,0.722,6.96,,,,,,,,,,,,,,,,,,
EQ-0033,2023-03-11 00:00:00,避雷器,龙华220kV变电站,0.536,0.587,9.45,0.65,0.708,9.08,,,,,,,,,,,,,,,,,,
EQ-0226,2023-03-20 00:00:00,隔离开关,亦庄110kV变电站,0.538,0.607,12.77,0.672,0.777,15.59,,,,,,,,,,,,,,,,,,
EQ-0299,2023-03-11 00:00:00,断路器,武昌110kV变电站,0.56,0.618,10.43,0.686,0.791,15.28,,,,,,,10400.333,8422.333,-19.02,,,,,,,0.48,0.511,6.32
EQ-0413,2023-03-11 00:00:00,断路器,沈阳浑南110kV变电站,0.5,0.525,4.9,0.626,0.687,9.77,,,,,,,8296.333,7209.333,-13.1,,,,,,,0.497,0.483,-2.82
EQ-0151,2023-03-11 00:00:00,电力变压器,苏州工业园220kV变电站,0.446,0.477,7.0,0.572,0.598,4.57,42.967,60.733,41.35,57.067,74.967,31.37,7034.667,8454.667,20.19,0.006,0.005,-12.92,10.067,12.9,28.15,,,
EQ-0126,2023-03-11 00:00:00,避雷器,张江110kV变电站,0.53,0.578,9.07,0.685,0.718,4.85,,,,,,,,,,,,,,,,,,
EQ-0277,2023-03-11 00:00:00,避雷器,天津滨海220kV变电站,0.483,0.521,7.88,0.597,0.64,7.17,,,,,,,,,,,,,,,,,,
EQ-0424,2023-03-11 00:00:00,避雷器,沈阳浑南110kV变电站,0.463,0.5,7.82,0.568,0.639,12.43,,,,,,,,,,,,,,,,,,
EQ-0294,2023-03-27 00:00:00,避雷器,石家庄高新35kV变电站,0.59,0.605,2.46,0.719,0.768,6.83,,,,,,,,,,,,,,,,,,
EQ-0345,2023-03-10 00:00:00,GIS组合电器,长沙星沙110kV变电站,0.538,0.584,8.49,0.677,0.734,8.37,43.2,62.333,44.29,60.467,77.667,28.45,7940.667,9357.0,17.84,,,,4.9,8.467,72.79,0.528,0.49,-7.19
EQ-0169,2023-03-11 00:00:00,电容器组,苏州工业园220kV变电站,0.503,0.519,3.1,0.606,0.645,6.46,,,,,,,,,,0.004,0.005,14.04,,,,,,
EQ-0284,2023-03-11 00:00:00,断路器,石家庄高新35kV变电站,0.468,0.49,4.69,0.578,0.619,6.97,,,,,,,11571.0,10290.333,-11.07,,,,,,,0.503,0.504,0.2
EQ-0377,2023-03-11 00:00:00,隔离开关,重庆两江220kV变电站,0.458,0.519,13.52,0.551,0.648,17.63,,,,,,,,,,,,,,,,,,
EQ-0412,2023-03-11 00:00:00,断路器,沈阳浑南110kV变电站,0.556,0.565,1.58,0.673,0.711,5.61,,,,,,,10692.667,8306.667,-22.31,,,,,,,0.503,0.478,-4.97
EQ-0006,2023-03-12 00:00:00,断路器,龙华220kV变电站,0.455,0.458,0.64,0.583,0.57,-2.18,,,,,,,8366.0,8317.667,-0.58,,,,,,,0.485,0.469,-3.16
EQ-0005,2023-03-12 00:00:00,电力变压器,龙华220kV变电站,0.483,0.507,4.86,0.611,0.66,8.09,51.533,69.433,34.73,67.767,85.9,26.76,8433.333,6708.333,-20.45,0.006,0.004,-33.92,9.6,13.3,38.54,,,
EQ-0069,2023-04-09 00:00:00,电力变压器,南沙110kV变电站,0.523,0.742,41.86,0.647,0.886,36.9,57.833,78.6,35.91,74.833,97.067,29.71,10296.667,8991.0,-12.68,0.004,0.003,-5.7,6.867,7.5,9.22,,,
EQ-0312,2023-03-12 00:00:00,避雷器,武昌110kV变电站,0.525,0.617,17.68,0.673,0.801,19.06,,,,,,,,,,,,,,,,,,
EQ-0223,2023-03-12 00:00:00,断路器,亦庄110kV变电站,0.475,0.52,9.4,0.587,0.676,15.3,,,,,,,11783.333,8613.0,-26.91,,,,,,,0.473,0.491,3.81
EQ-0164,2023-03-12 00:00:00,隔离开关,苏州工业园220kV变电站,0.502,0.563,12.14,0.643,0.711,10.61,,,,,,,,,,,,,,,,,,
EQ-0087,2023-03-12 00:00:00,电力变压器,前海110kV变电站,0.495,0.542,9.39,0.638,0.686,7.51,48.933,65.033,32.9,63.667,82.4,29.42,10827.333,7568.667,-30.1,0.004,0.004,18.38,6.733,4.8,-28.71,,,
EQ-0138,2023-03-12 00:00:00,隔离开关,临港110kV变电站,0.484,0.533,10.21,0.625,0.673,7.74,,,,,,,,,,,,,,,,,,
EQ-0313,2023-03-12 00:00:00,GIS组合电器,武昌110kV变电站,0.576,0.635,10.23,0.725,0.802,10.62,46.1,65.867,42.88,62.433,83.3,33.42,10862.333,9315.333,-14.24,,,,4.667,10.2,118.57,0.484,0.469,-3.1
EQ-0265,2023-03-12 00:00:00,隔离开关,天津滨海220kV变电站,0.506,0.557,9.92,0.63,0.694,10.19,,,,,,,,,,,,,,,,,,
EQ-0010,2023-03-26 00:00:00,断路器,龙华220kV变电站,0.494,0.53,7.41,0.629,0.673,6.95,,,,,,,6677.333,8749.667,31.04,,,,,,,0.492,0.478,-2.91
EQ-0346,2023-03-12 00:00:00,电力变压器,武侯110kV变电站,0.487,0.528,8.4,0.615,0.67,8.93,44.967,63.6,41.44,61.233,80.367,31.25,9299.667,9457.333,1.7,0.004,0.005,38.17,9.567,7.4,-22.65,,,
EQ-0285,2023-03-12 00:00:00,断路器,石家庄高新35kV变电站,0.569,0.613,7.81,0.693,0.79,14.0,,,,,,,9558.333,9881.333,3.38,,,,,,,0.475,0.483,1.61
EQ-0341,2023-03-12 00:00:00,避雷器,长沙星沙110kV变电站,0.474,0.557,17.45,0.586,0.702,19.82,,,,,,,,,,,,,,,,,,
EQ-0193,2023-03-12 00:00:00,隔离开关,杭州滨江110kV变电站,0.471,0.497,5.42,0.584,0.631,8.12,,,,,,,,,,,,,,,,,,
EQ-0245,2023-03-13 00:00:00,隔离开关,通州35kV变电站,0.536,0.615,14.76,0.635,0.762,19.91,,,,,,,,,,,,,,,,,,
EQ-0014,2023-03-09 00:00:00,断路器,龙华220kV变电站,0.484,0.538,11.0,0.601,0.708,17.89,,,,,,,7266.667,8944.333,23.09,,,,,,,0.464,0.488,5.1
EQ-0031,2023-03-13 00:00:00,避雷器,龙华220kV变电站,0.544,0.607,11.7,0.682,0.776,13.79,,,,,,,,,,,,,,,,,,
EQ-0269,2023-03-13 00:00:00,隔离开关,天津滨海220kV变电站,0.492,0.555,12.69,0.61,0.671,9.95,,,,,,,,,,,,,,,,,,
EQ-0007,2023-03-12 00:00:00,断路器,龙华220kV变电站,0.498,0.534,7.11,0.583,0.652,11.88,,,,,,,9323.0,9613.667,3.12,,,,,,,0.496,0.482,-2.76
EQ-0192,2023-04-02 00:00:00,隔离开关,杭州滨江110kV变电站,0.522,0.715,37.08,0.657,0.896,36.54,,,,,,,,,,,,,,,,,,
EQ-0327,2023-04-07 00:00:00,电力变压器,长沙星沙110kV变电站,0.432,0.59,36.44,0.553,0.71,28.33,44.933,69.867,55.49,58.4,85.833,46.97,10232.333,8941.0,-12.62,0.005,0.003,-26.24,3.933,6.833,73.73,,,
EQ-0356,2023-03-13 00:00:00,隔离开关,武侯110kV变电站,0.479,0.497,3.72,0.607,0.612,0.74,,,,,,,,,,,,,,,,,,
EQ-0183,2023-03-13 00:00:00,电力变压器,杭州滨江110kV变电站,0.444,0.473,6.64,0.571,0.598,4.77,41.933,60.067,43.24,55.733,74.067,32.89,9031.333,8753.667,-3.07,0.004,0.004,2.55,10.033,13.2,31.56,,,
EQ-0037,2023-03-07 00:00:00,GIS组合电器,龙华220kV变电站,0.517,0.572,10.53,0.666,0.712,6.89,51.867,66.9,28.98,69.9,82.733,18.36,10116.333,7890.0,-22.01,,,,12.833,9.567,-25.45,0.483,0.496,2.69
EQ-0326,2023-03-13 00:00:00,避雷器,江夏35kV变电站,0.448,0.472,5.19,0.594,0.574,-3.36,,,,,,,,,,,,,,,,,,
EQ-0338,2023-03-28 00:00:00,隔离开关,长沙星沙110kV变电站,0.464,0.509,9.87,0.57,0.636,11.46,,,,,,,,,,,,,,,,,,
EQ-0288,2023-03-14 00:00:00,隔离开关,石家庄高新35kV变电站,0.497,0.545,9.73,0.602,0.696,15.62,,,,,,,,,,,,,,,,,,
EQ-0286,2023-03-14 00:00:00,断路器,石家庄高新35kV变电站,0.479,0.54,12.58,0.567,0.692,22.04,,,,,,,8274.0,9856.333,19.12,,,,,,,0.477,0.503,5.38
EQ-0139,2023-03-31 00:00:00,隔离开关,临港110kV变电站,0.513,0.573,11.51,0.661,0.678,2.6,,,,,,,,,,,,,,,,,,
EQ-0154,2023-03-14 00:00:00,断路器,苏州工业园220kV变电站,0.497,0.532,6.88,0.607,0.648,6.74,,,,,,,9235.667,8773.0,-5.01,,,,,,,0.476,0.483,1.61
EQ-0333,2023-03-14 00:00:00,断路器,长沙星沙110kV变电站,0.549,0.606,10.5,0.674,0.76,12.75,,,,,,,9092.667,8140.333,-10.47,,,,,,,0.504,0.49,-2.78
EQ-0212,2023-03-17 00:00:00,避雷器,昆山35kV变电站,0.53,0.582,9.73,0.667,0.729,9.29,,,,,,,,,,,,,,,,,,
EQ-0061,2023-04-13 00:00:00,避雷器,松山湖220kV变电站,0.432,0.58,34.32,0.551,0.735,33.31,,,,,,,,,,,,,,,,,,
EQ-0222,2023-03-14 00:00:00,断路器,亦庄110kV变电站,0.431,0.44,2.1,0.556,0.549,-1.31,,,,,,,8931.0,7914.333,-11.38,,,,,,,0.493,0.502,1.83
EQ-0124,2023-03-14 00:00:00,避雷器,张江110kV变电站,0.569,0.602,5.89,0.715,0.731,2.29,,,,,,,,,,,,,,,,,,
EQ-0410,2023-03-12 00:00:00,电力变压器,沈阳浑南110kV变电站,0.502,0.498,-0.82,0.594,0.622,4.71,37.4,57.167,52.85,52.433,72.467,38.21,7373.333,6991.0,-5.19,0.005,0.004,-8.84,15.367,11.433,-25.6,,,
EQ-0175,2023-03-14 00:00:00,避雷器,苏州工业园220kV变电站,0.432,0.498,15.23,0.539,0.643,19.34,,,,,,,,,,,,,,,,,,
EQ-0042,2023-03-23 00:00:00,电力变压器,松山湖220kV变电站,0.568,0.578,1.7,0.729,0.722,-0.93,52.133,66.733,28.01,67.833,86.333,27.27,8242.667,8415.0,2.09,0.005,0.004,-17.64,6.633,11.0,65.83,,,
EQ-0009,2023-03-15 00:00:00,断路器,龙华220kV变电站,0.511,0.53,3.78,0.649,0.652,0.47,,,,,,,7641.0,8563.333,12.07,,,,,,,0.514,0.471,-8.49
EQ-0137,2023-03-15 00:00:00,隔离开关,临港110kV变电站,0.479,0.473,-1.34,0.596,0.588,-1.29,,,,,,,,,,,,,,,,,,
EQ-0205,2023-03-15 00:00:00,断路器,昆山35kV变电站,0.448,0.509,13.53,0.568,0.634,11.57,,,,,,,10300.333,7663.0,-25.6,,,,,,,0.479,0.443,-7.52
EQ-0238,2023-03-15 00:00:00,电力变压器,通州35kV变电站,0.477,0.538,12.9,0.598,0.706,18.1,43.8,59.467,35.77,61.2,74.333,21.46,6461.333,8057.0,24.7,0.006,0.004,-25.75,8.967,9.4,4.83,,,
EQ-0024,2023-03-15 00:00:00,电容器组,龙华220kV变电站,0.458,0.501,9.37,0.577,0.606,5.02,,,,,,,,,,0.005,0.004,-9.06,,,,,,
EQ-0121,2023-03-15 00:00:00,电容器组,张江110kV变电站,0.602,0.606,0.63,0.782,0.752,-3.82,,,,,,,,,,0.005,0.005,2.13,,,,,,
EQ-0375,2023-03-15 00:00:00,断路器,重庆两江220kV变电站,0.568,0.64,12.7,0.703,0.82,16.6,,,,,,,11718.333,8103.667,-30.85,,,,,,,0.486,0.495,1.85
EQ-0324,2023-03-22 00:00:00,避雷器,江夏35kV变电站,0.572,0.642,12.34,0.739,0.807,9.23,,,,,,,,,,,,,,,,,,
EQ-0422,2023-04-11 00:00:00,避雷器,沈阳浑南110kV变电站,0.553,0.726,31.15,0.729,0.908,24.54,,,,,,,,,,,,,,,,,,
EQ-0030,2023-03-15 00:00:00,避雷器,龙华220kV变电站,0.549,0.62,12.93,0.717,0.758,5.82,,,,,,,,,,,,,,,,,,
EQ-0127,2023-03-15 00:00:00,GIS组合电器,张江110kV变电站,0.506,0.564,11.55,0.599,0.695,16.0,43.533,64.0,47.01,57.633,80.633,39.91,9769.0,10499.333,7.48,,,,7.533,5.9,-21.68,0.488,0.49,0.55
EQ-0181,2023-03-15 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.483,0.559,15.77,0.58,0.667,14.92,45.467,67.4,48.24,59.867,85.7,43.15,9961.0,8640.333,-13.26,,,,3.733,11.233,200.89,0.514,0.529,2.92
EQ-0370,2023-04-03 00:00:00,断路器,重庆两江220kV变电站,0.417,0.558,33.93,0.517,0.702,35.8,,,,,,,9457.0,7077.333,-25.16,,,,,,,0.496,0.479,-3.49
EQ-0403,2023-03-15 00:00:00,电容器组,成都高新35kV变电站,0.43,0.467,8.63,0.547,0.57,4.36,,,,,,,,,,0.004,0.005,31.6,,,,,,
EQ-0336,2023-03-15 00:00:00,隔离开关,长沙星沙110kV变电站,0.569,0.633,11.29,0.725,0.816,12.52,,,,,,,,,,,,,,,,,,
EQ-0084,2023-04-11 00:00:00,避雷器,南沙110kV变电站,0.58,0.777,33.81,0.712,0.975,36.95,,,,,,,,,,,,,,,,,,
EQ-0105,2023-03-15 00:00:00,GIS组合电器,前海110kV变电站,0.498,0.564,13.29,0.587,0.7,19.27,49.367,71.833,45.51,64.967,86.0,32.38,10320.667,9689.0,-6.12,,,,8.933,3.733,-58.21,0.489,0.506,3.47
EQ-0386,2023-03-16 00:00:00,避雷器,重庆两江220kV变电站,0.484,0.514,6.32,0.615,0.626,1.7,,,,,,,,,,,,,,,,,,
EQ-0043,2023-03-16 00:00:00,断路器,松山湖220kV变电站,0.452,0.47,3.95,0.553,0.607,9.9,,,,,,,8740.0,8284.667,-5.21,,,,,,,0.49,0.48,-2.04
EQ-0266,2023-03-16 00:00:00,隔离开关,天津滨海220kV变电站,0.417,0.479,14.87,0.516,0.62,20.18,,,,,,,,,,,,,,,,,,
EQ-0015,2023-03-16 00:00:00,断路器,龙华220kV变电站,0.427,0.47,10.09,0.517,0.582,12.64,,,,,,,9967.667,8332.0,-16.41,,,,,,,0.489,0.481,-1.64
EQ-0323,2023-04-09 00:00:00,电容器组,江夏35kV变电站,0.485,0.636,30.95,0.609,0.822,34.96,,,,,,,,,,0.004,0.004,22.76,,,,,,
EQ-0351,2023-03-16 00:00:00,断路器,武侯110kV变电站,0.476,0.515,8.14,0.59,0.649,9.99,,,,,,,11148.667,9366.0,-15.99,,,,,,,0.513,0.486,-5.14
EQ-0133,2023-03-12 00:00:00,断路器,临港110kV变电站,0.44,0.482,9.54,0.557,0.624,12.07,,,,,,,10373.0,9609.0,-7.37,,,,,,,0.508,0.497,-2.23
EQ-0241,2023-03-24 00:00:00,断路器,通州35kV变电站,0.484,0.509,5.21,0.603,0.645,7.07,,,,,,,8519.0,8835.0,3.71,,,,,,,0.479,0.488,1.88
EQ-0430,2023-03-20 00:00:00,断路器,大连开发区35kV变电站,0.537,0.561,4.55,0.679,0.664,-2.14,,,,,,,8240.667,9675.667,17.41,,,,,,,0.499,0.5,0.33
EQ-0406,2023-03-16 00:00:00,避雷器,成都高新35kV变电站,0.448,0.477,6.67,0.565,0.593,4.97,,,,,,,,,,,,,,,,,,
EQ-0064,2023-03-16 00:00:00,避雷器,松山湖220kV变电站,0.601,0.679,12.81,0.742,0.877,18.09,,,,,,,,,,,,,,,,,,
EQ-0293,2023-03-23 00:00:00,避雷器,石家庄高新35kV变电站,0.517,0.564,8.91,0.624,0.687,10.06,,,,,,,,,,,,,,,,,,
EQ-0428,2023-03-20 00:00:00,电力变压器,大连开发区35kV变电站,0.558,0.621,11.24,0.693,0.772,11.5,38.167,59.1,54.85,54.467,77.067,41.49,6336.667,9399.333,48.33,0.005,0.005,2.53,9.6,6.833,-28.82,,,
EQ-0290,2023-03-16 00:00:00,电容器组,石家庄高新35kV变电站,0.568,0.574,1.0,0.697,0.735,5.42,,,,,,,,,,0.004,0.005,37.66,,,,,,
EQ-0394,2023-03-16 00:00:00,GIS组合电器,重庆两江220kV变电站,0.595,0.611,2.67,0.695,0.744,6.94,51.4,65.533,27.5,67.367,83.133,23.4,9780.667,8829.0,-9.73,,,,10.833,10.833,0.0,0.468,0.501,6.98
EQ-0306,2023-03-16 00:00:00,隔离开关,武昌110kV变电站,0.511,0.527,3.12,0.648,0.645,-0.48,,,,,,,,,,,,,,,,,,
EQ-0250,2023-04-01 00:00:00,避雷器,通州35kV变电站,0.552,0.683,23.79,0.695,0.816,17.32,,,,,,,,,,,,,,,,,,
EQ-0396,2023-03-29 00:00:00,电力变压器,成都高新35kV变电站,0.459,0.524,14.22,0.551,0.66,19.78,42.5,63.967,50.51,56.167,80.433,43.2,10750.0,10163.0,-5.46,0.004,0.004,3.13,8.433,6.4,-24.11,,,
EQ-0254,2023-03-16 00:00:00,电力变压器,天津滨海220kV变电站,0.528,0.621,17.71,0.672,0.797,18.53,44.9,61.567,37.12,59.367,80.633,35.82,8554.0,9783.333,14.37,0.003,0.005,48.71,5.8,5.9,1.72,,,
EQ-0206,2023-03-09 00:00:00,断路器,昆山35kV变电站,0.584,0.616,5.43,0.744,0.735,-1.2,,,,,,,8542.0,7525.333,-11.9,,,,,,,0.489,0.455,-7.02
EQ-0171,2023-03-11 00:00:00,电容器组,苏州工业园220kV变电站,0.517,0.529,2.29,0.62,0.65,4.85,,,,,,,,,,0.006,0.004,-37.54,,,,,,
EQ-0319,2023-03-16 00:00:00,隔离开关,江夏35kV变电站,0.457,0.499,9.33,0.571,0.618,8.29,,,,,,,,,,,,,,,,,,
EQ-0159,2023-03-30 00:00:00,断路器,苏州工业园220kV变电站,0.59,0.592,0.31,0.73,0.722,-1.05,,,,,,,10680.333,9237.333,-13.51,,,,,,,0.487,0.49,0.55
EQ-0196,2023-03-22 00:00:00,避雷器,杭州滨江110kV变电站,0.503,0.522,3.81,0.63,0.642,1.9,,,,,,,,,,,,,,,,,,
EQ-0280,2023-03-17 00:00:00,GIS组合电器,天津滨海220kV变电站,0.43,0.46,7.02,0.554,0.574,3.59,37.933,59.0,55.54,52.033,74.267,42.73,7529.333,8326.333,10.59,,,,11.133,8.9,-20.06,0.483,0.485,0.48
EQ-0179,2023-03-17 00:00:00,GIS组合电器,苏州工业园220kV变电站,0.557,0.59,5.98,0.722,0.749,3.76,47.9,66.0,37.79,63.8,83.533,30.93,7911.667,7915.333,0.05,,,,11.033,11.967,8.46,0.49,0.493,0.68
EQ-0004,2023-03-17 00:00:00,电力变压器,龙华220kV变电站,0.556,0.549,-1.28,0.717,0.677,-5.59,54.9,66.667,21.43,73.067,82.933,13.5,9908.0,8947.0,-9.7,0.005,0.004,-24.3,6.833,7.833,14.63,,,
EQ-0008,2023-03-13 00:00:00,断路器,龙华220kV变电站,0.434,0.503,15.79,0.535,0.661,23.55,,,,,,,8854.667,7819.333,-11.69,,,,,,,0.505,0.501,-0.86
EQ-0189,2023-03-17 00:00:00,断路器,杭州滨江110kV变电站,0.521,0.51,-1.98,0.624,0.656,5.2,,,,,,,9861.333,9430.667,-4.37,,,,,,,0.484,0.526,8.53
EQ-0263,2023-03-17 00:00:00,断路器,天津滨海220kV变电站,0.556,0.643,15.66,0.708,0.821,15.84,,,,,,,9942.333,9953.333,0.11,,,,,,,0.489,0.493,0.75
EQ-0078,2023-03-17 00:00:00,隔离开关,南沙110kV变电站,0.595,0.634,6.64,0.773,0.819,5.98,,,,,,,,,,,,,,,,,,
EQ-0249,2023-03-17 00:00:00,避雷器,通州35kV变电站,0.484,0.524,8.25,0.599,0.642,7.15,,,,,,,,,,,,,,,,,,
EQ-0255,2023-03-17 00:00:00,电力变压器,天津滨海220kV变电站,0.543,0.598,10.0,0.689,0.768,11.56,46.367,61.167,31.92,64.1,77.967,21.63,11360.0,8238.667,-27.48,0.004,0.003,-25.63,10.633,10.6,-0.31,,,
EQ-0165,2023-04-11 00:00:00,隔离开关,苏州工业园220kV变电站,0.55,0.687,25.02,0.679,0.85,25.15,,,,,,,,,,,,,,,,,,
EQ-0304,2023-03-17 00:00:00,隔离开关,武昌110kV变电站,0.52,0.567,9.01,0.641,0.72,12.4,,,,,,,,,,,,,,,,,,
EQ-0244,2023-03-18 00:00:00,隔离开关,通州35kV变电站,0.557,0.587,5.33,0.649,0.74,14.06,,,,,,,,,,,,,,,,,,
EQ-0190,2023-03-27 00:00:00,隔离开关,杭州滨江110kV变电站,0.501,0.527,5.19,0.652,0.683,4.82,,,,,,,,,,,,,,,,,,
EQ-0209,2023-04-13 00:00:00,隔离开关,昆山35kV变电站,0.482,0.616,27.86,0.587,0.763,30.04,,,,,,,,,,,,,,,,,,
EQ-0328,2023-03-18 00:00:00,电力变压器,长沙星沙110kV变电站,0.577,0.617,6.83,0.77,0.739,-3.95,47.733,63.133,32.26,64.2,80.9,26.01,10027.333,9992.667,-0.35,0.005,0.004,-24.78,4.633,4.433,-4.32,,,
EQ-0340,2023-03-18 00:00:00,电容器组,长沙星沙110kV变电站,0.572,0.597,4.48,0.717,0.776,8.22,,,,,,,,,,0.004,0.004,3.06,,,,,,
EQ-0074,2023-03-23 00:00:00,断路器,南沙110kV变电站,0.581,0.613,5.47,0.718,0.767,6.82,,,,,,,11461.667,9217.667,-19.58,,,,,,,0.481,0.472,-1.87
EQ-0075,2023-03-18 00:00:00,断路器,南沙110kV变电站,0.472,0.554,17.48,0.57,0.673,17.98,,,,,,,11363.667,8516.667,-25.05,,,,,,,0.5,0.491,-1.67
EQ-0329,2023-03-27 00:00:00,电力变压器,长沙星沙110kV变电站,0.49,0.503,2.53,0.617,0.637,3.2,45.633,61.667,35.14,61.567,77.5,25.88,8826.0,10297.333,16.67,0.004,0.004,-18.69,8.333,6.067,-27.2,,,
